CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMIC,RSHAL,closest_depth,true depth,"SAMPLE
NUMBER","PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",Longitude,Latitude
12.1055,-0.0036,2.1743,106.5399,212.4273,50.932,0.4064,2.7395,1.6594,1.6609,1.2277,2214.82,2214.8824,2,2040,,30.6,-4.3999889,60.323475
12.1063,-0.0042,2.1866,107.2456,207.6222,52.5742,0.4056,2.8607,1.4837,1.534,1.1184,2215,2215.0348,3,2322,1940,30.3,-4.3999889,60.323475
12.1128,-0.0037,2.2201,107.0556,207.7252,59.1365,0.422,3.081,1.268,1.3092,0.9641,2215.25,2215.1872,4,2569,,31.2,-4.3999889,60.323475
12.1181,-0.0024,2.2462,106.8555,207.5873,64.6011,0.4368,3.031,1.2565,0.9335,0.962,2215.25,2215.3396,4,2569,,31.2,-4.3999889,60.323475
12.1151,-0.0027,2.2446,106.1222,207.1069,65.9673,0.4262,3.0205,1.206,0.6942,0.9245,2215.25,2215.492,4,2569,,31.2,-4.3999889,60.323475
12.1181,-0.0029,2.2324,105.5991,209.7179,61.3703,0.414,2.8979,1.1564,0.8797,0.8822,2216,2215.6444,7,876,372,31.3,-4.3999889,60.323475
12.1176,-0.0035,2.2191,104.8727,206.5676,57.3225,0.4068,2.9021,1.2873,1.1712,0.9686,2216,2215.7968,7,876,372,31.3,-4.3999889,60.323475
12.1166,0.0013,2.2245,104.7522,208.406,57.061,0.4056,2.9548,1.3276,0.988,0.9974,2216,2215.9492,7,876,372,31.3,-4.3999889,60.323475
12.1181,0.0023,2.2216,105.2884,207.38,57.4231,0.4025,2.8693,1.2881,1.0175,0.9603,2216,2216.1016,7,876,372,31.3,-4.3999889,60.323475
12.1147,0.0016,2.2165,106.5399,206.536,57.7267,0.4134,2.8199,1.2678,0.8023,0.9405,2216.25,2216.254,8,1513,,32.7,-4.3999889,60.323475
12.1166,-0.0004,2.2088,107.1237,206.0012,54.8438,0.4016,2.6665,1.1984,0.6981,0.8949,2216.5,2216.4064,9,550,,31.3,-4.3999889,60.323475
12.1181,-0.0021,2.2046,107.6508,205.8633,52.0609,0.4101,2.6567,1.049,0.7134,0.7785,2216.5,2216.5588,9,550,,31.3,-4.3999889,60.323475
12.1156,-0.006,2.1971,107.2653,205.6011,48.2595,0.3957,2.62,1.0284,0.6608,0.7639,2216.5,2216.7112,9,550,,31.3,-4.3999889,60.323475
12.1166,-0.0076,2.188,107.1369,205.2634,45.9898,0.4038,2.6427,1.0249,0.6257,0.7567,2217,2216.8636,11,1557,1007,30.9,-4.3999889,60.323475
12.1166,-0.0093,2.1751,107.004,204.9238,46.8746,0.3881,2.693,0.9935,0.663,0.7336,2217,2217.016,11,1557,1007,30.9,-4.3999889,60.323475
12.1191,-0.0105,2.1692,107.0124,203.9382,47.9437,0.4124,2.7012,0.9889,0.6816,0.7236,2217.25,2217.1684,12,1387,,31.3,-4.3999889,60.323475
12.1127,-0.0103,2.1651,107.7296,203.4619,49.9328,0.4217,2.6906,1.008,0.6357,0.7252,2217.25,2217.3208,12,1387,,31.3,-4.3999889,60.323475
12.1166,-0.0102,2.1658,108.1922,202.561,50.2642,0.4245,2.6466,1.0193,0.6191,0.7338,2217.47,2217.4732,13,1558,,32,-4.3999889,60.323475
12.1191,-0.0121,2.1608,108.1946,202.6627,50.9725,0.4094,2.6198,1.0249,0.6619,0.7294,2217.47,2217.6256,13,1558,,32,-4.3999889,60.323475
12.1156,-0.0117,2.1592,107.9358,202.5318,51.6307,0.4161,2.6621,1.0295,0.6506,0.7342,2217.82,2217.778,14,754,,31.4,-4.3999889,60.323475
12.1147,-0.0095,2.162,107.8039,202.4632,47.5697,0.4024,2.7406,1.021,0.6556,0.732,2218.02,2217.9304,15,1187,1266,32.8,-4.3999889,60.323475
12.1191,-0.007,2.1695,107.8,202.2079,47.1073,0.3958,2.8293,1.0067,0.6315,0.7198,2218.02,2218.0828,15,1187,1266,32.8,-4.3999889,60.323475
12.1166,-0.0052,2.1724,107.7353,202.7616,44.6899,0.3795,2.8389,1.0033,0.6199,0.7171,2218.25,2218.2352,16,1330,,32,-4.3999889,60.323475
12.117,-0.0037,2.1688,107.932,206.0385,46.889,0.3839,2.8311,1.0031,0.5797,0.7176,2218.48,2218.3876,17,1986,,32.7,-4.3999889,60.323475
12.114,-0.0024,2.1655,108.3305,207.4448,45.5919,0.3959,2.7742,1.006,0.6167,0.7051,2218.48,2218.54,17,1986,,32.7,-4.3999889,60.323475
12.1187,-0.001,2.17,108.4673,208.1268,45.7225,0.3984,2.7806,0.9977,0.6526,0.7141,2218.75,2218.6924,18,1585,,32.5,-4.3999889,60.323475
12.1151,-0.0024,2.175,108.8547,208.53,44.192,0.4016,2.7356,0.9912,0.631,0.6999,2218.75,2218.8448,18,1585,,32.5,-4.3999889,60.323475
12.1181,-0.0031,2.1791,108.4707,208.8569,45.5264,0.4018,2.7232,0.9837,0.6469,0.6957,2219,2218.9972,19,1781,2464,32.5,-4.3999889,60.323475
12.1181,-0.0036,2.1807,108.2686,208.665,46.4286,0.3904,2.6977,0.9756,0.6418,0.6865,2219.25,2219.1496,20,1815,,32,-4.3999889,60.323475
12.1176,-0.0057,2.1781,108.2019,208.0773,45.9917,0.3956,2.6327,0.9639,0.6487,0.6675,2219.25,2219.302,20,1815,,32,-4.3999889,60.323475
12.1166,-0.0064,2.173,108.2,207.9983,44.1226,0.3776,2.6117,0.9444,0.6449,0.6597,2219.47,2219.4544,21,1558,,32.2,-4.3999889,60.323475
12.114,-0.0033,2.1742,108.2,207.3401,44.6637,0.3765,2.6013,0.8423,0.6491,0.5988,2219.47,2219.6068,21,1558,,32.2,-4.3999889,60.323475
12.1187,-0.002,2.1736,108.0707,206.9482,47.1688,0.365,2.6576,0.8048,0.6582,0.5816,2219.82,2219.7592,22,1962,,31.8,-4.3999889,60.323475
12.1158,-0.0004,2.1801,108.0667,207.4595,50.12,0.3637,2.7122,0.8216,0.6346,0.5978,2220,2219.9116,23,2008,2365,33.4,-4.3999889,60.323475
12.1181,-0.0016,2.1783,108.0667,207.6692,49.4314,0.3769,2.7873,0.8895,0.6395,0.6403,2220,2220.064,23,2008,2365,33.4,-4.3999889,60.323475
12.1176,-0.003,2.1743,108.1339,209.0478,49.4348,0.3775,2.8764,1.0302,0.7908,0.7361,2220.25,2220.2164,24,1672,,32.9,-4.3999889,60.323475
12.113,-0.0064,2.1634,108.2005,210.7482,49.6887,0.3813,2.9056,1.2133,0.9195,0.8593,2220.48,2220.3688,25,2207,,32.6,-4.3999889,60.323475
12.1187,-0.006,2.1577,108.2648,209.0568,52.4354,0.3792,2.973,1.2271,0.9083,0.8794,2220.48,2220.5212,25,2207,,32.6,-4.3999889,60.323475
12.1151,-0.0052,2.1604,108.004,213.0081,54.452,0.3785,2.8965,1.1787,0.7215,0.8574,2220.75,2220.6736,26,2622,,33,-4.3999889,60.323475
12.1176,-0.0036,2.1615,107.8743,208.0976,54.3002,0.3754,2.8806,1.1195,0.7009,0.8413,2220.75,2220.826,26,2622,,33,-4.3999889,60.323475
12.1202,-0.0025,2.1655,108.7803,203.9715,51.8486,0.3792,2.7764,1.1109,0.681,0.8305,2221,2220.9784,27,160,97,31.8,-4.3999889,60.323475
12.1277,-0.001,2.1667,109.1897,203.0347,48.7729,0.3886,2.8025,1.1042,0.6845,0.8369,2221.25,2221.1308,28,1540,,33.5,-4.3999889,60.323475
12.122,-0.0035,2.1682,109.2634,205.9292,47.3492,0.3965,2.7825,1.0979,0.7328,0.8406,2221.25,2221.2832,28,1540,,33.5,-4.3999889,60.323475
12.1277,-0.0034,2.177,108.4228,208.2632,45.9893,0.3756,2.8282,1.095,0.6901,0.8536,2221.5,2221.4356,29,1240,,32.9,-4.3999889,60.323475
